127.0.0.1, 2014-10-23 14:19:19, GET, /, HTTP/1.1, 303, 0.000757
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.265406
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000428
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000364
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000446
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000340
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000406
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000428
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000589
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000300
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000360
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000280
127.0.0.1, 2014-10-23 14:19:20, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000471
127.0.0.1, 2014-10-23 14:19:21, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000360
127.0.0.1, 2014-10-23 14:19:21, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000347
127.0.0.1, 2014-10-23 14:19:21, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000425
127.0.0.1, 2014-10-23 14:19:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000355
127.0.0.1, 2014-10-23 14:19:33, GET, /admin/default/index, HTTP/1.1, 200, 0.206689
127.0.0.1, 2014-10-23 14:19:33, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000904
127.0.0.1, 2014-10-23 14:19:33, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000351
127.0.0.1, 2014-10-23 14:19:38, POST, /admin/default/index, HTTP/1.1, 303, 0.066585
127.0.0.1, 2014-10-23 14:19:38, GET, /admin/default/site, HTTP/1.1, 200, 0.104138
127.0.0.1, 2014-10-23 14:19:38, GET, /admin/static/_2.9.11/images/folder_locked.png, HTTP/1.1, 200, 0.000375
127.0.0.1, 2014-10-23 14:19:38, GET, /admin/static/_2.9.11/images/folder.png, HTTP/1.1, 200, 0.000266
127.0.0.1, 2014-10-23 14:19:38, GET, /admin/static/_2.9.11/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000422
127.0.0.1, 2014-10-23 14:19:39, POST, /admin/default/check_version, HTTP/1.1, 200, 0.578557
127.0.0.1, 2014-10-23 14:19:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.061014
127.0.0.1, 2014-10-23 14:19:47, GET, /welcome/default/user, HTTP/1.1, 303, 0.034571
127.0.0.1, 2014-10-23 14:19:47, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.054429
